latitude,longitude,What type of space do you have?,Plant for pollinators,Make space for nature,Expand the network,What is your first step going to be?,Entry Id,Entry Date
55.9380513,-3.2176237,Communal greenspace,,Make space for nature,,,767,12/02/2019 13:43
55.9259405,-3.2773065,Small garden,Plant for pollinators,Make space for nature,,Create an insect house,760,11/02/2019 07:36
55.9432675,-3.2883483,Large garden,Plant for pollinators,Make space for nature,,"Plant native flowers, make wildlife pond",756,10/02/2019 13:09
55.9564125,-3.290882,Small garden,Plant for pollinators,Make space for nature,,Planting flowers,750,09/02/2019 09:10
55.8994519,-3.2180276,Small garden,Plant for pollinators,,,Decide on types of pollinators,746,08/02/2019 07:57
55.9247822,-3.2689695,Small garden,Plant for pollinators,Make space for nature,,Put in some water for pollinators to drink.,744,07/02/2019 21:15
55.8644651,-3.0619456,Small garden,,,Expand the network,Built a solitary bee box,743,07/02/2019 18:53
55.9161095,-3.2825452,Small garden,Plant for pollinators,,,Planting of flowers,740,07/02/2019 08:37
55.9322072,-3.238014,Small garden,Plant for pollinators,,,Weed then plant,739,06/02/2019 23:04
55.9597619,-3.3996525,Small garden,Plant for pollinators,Make space for nature,Expand the network,Put up bee Hotel and plant more widely to hopefully extend flowering season,737,06/02/2019 19:02
55.9444115,-3.2209011,Balcony / window box,Plant for pollinators,,,,736,06/02/2019 18:27
55.9608648,-3.1632676,Balcony / window box,Plant for pollinators,,,"Get more window boxes, buy seeds for pollinator friendly plants.",735,06/02/2019 17:25
55.9263263,-3.1877931,Large garden,Plant for pollinators,Make space for nature,,Already do all suggestions. Took place in pollinator research at Edinburgh Uni some years ago.,734,06/02/2019 16:24
55.913799,-3.288885,Communal greenspace,Plant for pollinators,,Expand the network,Been working on improving soil life so plants can flourish.,731,06/02/2019 16:09
55.9378437,-3.2097109,Communal greenspace,Plant for pollinators,Make space for nature,Expand the network,Plant flower seeds this spring,730,06/02/2019 14:59
55.9397133,-3.251081,Small garden,Plant for pollinators,Make space for nature,Expand the network,Add more flowering plants,729,06/02/2019 13:10
55.9478854,-3.2775295,Large garden,Plant for pollinators,Make space for nature,,Read your website,726,06/02/2019 00:18
55.9354475,-3.1701732,Large garden,Plant for pollinators,,,Planting daffodils,724,05/02/2019 19:58
55.9475635,-3.1425928,Large garden,Plant for pollinators,Make space for nature,Expand the network,Share a post,723,05/02/2019 19:10
55.9460153,-3.1596354,Communal greenspace,Plant for pollinators,Make space for nature,Expand the network,Plant wild flowers,721,05/02/2019 10:59
55.9596181,-3.2949564,Small garden,Plant for pollinators,Make space for nature,Expand the network,,719,05/02/2019 07:07
55.9485499,-3.3026471,Small garden,Plant for pollinators,Make space for nature,Expand the network,Plan for spring! Plants I need to plant and when,715,04/02/2019 21:31
55.9489235,-3.2854368,Large garden,Plant for pollinators,Make space for nature,Expand the network,seedd,714,04/02/2019 21:10
55.9358078,-3.2829208,Large garden,Plant for pollinators,Make space for nature,Expand the network,,713,04/02/2019 20:25
55.9527209,-3.2889656,Balcony / window box,Plant for pollinators,Make space for nature,Expand the network,Bee and butterfly friendly seeds planted. Build a beastie hotel,712,04/02/2019 19:55
55.940604,-3.2761747,Large garden,Plant for pollinators,Make space for nature,,Expand space for nature,711,04/02/2019 19:14
55.9013734,-3.2169318,Large garden,Plant for pollinators,Make space for nature,,Always think about pollinators when choosing plants,708,04/02/2019 17:18
55.9414462,-3.2579578,Small garden,Plant for pollinators,,Expand the network,Getting my flowerbed ready for spring flowers,707,04/02/2019 14:21
55.9764346,-3.1821487,Communal greenspace,Plant for pollinators,Make space for nature,Expand the network,"Insect hotel, bird boxes, bird feeders and wild flower bed",706,04/02/2019 11:54
55.9052068,-3.2427853,Small garden,Plant for pollinators,Make space for nature,,"Already have lots of pollinating plants, but will focus on more spring nectar sources",608,14/01/2019 09:39
55.946202,-3.2981978,Small garden,Plant for pollinators,Make space for nature,,get more information,512,19/12/2018 08:06
55.9284056,-3.2089534,Small garden,Plant for pollinators,,,Add more flowers,479,07/12/2018 08:48
55.9419862,-3.1744166,Small garden,Plant for pollinators,,,Add more perennials that are good sources of nectar for butterflies and bees,442,22/11/2018 13:40
55.9469018,-3.0806309,Small garden,Plant for pollinators,Make space for nature,,to choose specifically plants for pollinators,432,18/11/2018 12:38
55.9518093,-3.1084602,Large garden,Plant for pollinators,Make space for nature,Expand the network,Continue the work we have been doing for the last 20 years,424,16/11/2018 21:43
55.9742571,-3.2090563,Small garden,Plant for pollinators,Make space for nature,,Leave dead plants in place.,419,15/11/2018 07:50
55.9688304,-3.1632568,Small garden,Plant for pollinators,Make space for nature,Expand the network,Plant early flowering bulbs and create a green roof on top of my shed to grow wild flowers on.,414,13/11/2018 17:29
55.9325966,-3.2112637,Large garden,Plant for pollinators,,,Planting,379,23/10/2018 08:47
55.937296,-3.283226,Small garden,Plant for pollinators,Make space for nature,Expand the network,We have planted extra flowers in our garden and now we are going volunteer in the local park,370,09/10/2018 17:01
55.9288142,-3.178321,Small garden,Plant for pollinators,,Expand the network,Planting a wildflower garden,360,17/09/2018 22:17
55.9551687,-3.11608,Small garden,Plant for pollinators,,,Wildflower patch,354,08/09/2018 17:16
55.9520002,-3.1140041,Small garden,Plant for pollinators,Make space for nature,Expand the network,Choose plants for pollinators,353,07/09/2018 18:47
55.9320682,-3.1786736,Small garden,Plant for pollinators,Make space for nature,Expand the network,collecting hollow stems to build next lot of bug hotels,347,05/09/2018 14:11
55.9594586,-3.2334708,Large garden,,,Expand the network,planting more perennials for pollinators,346,05/09/2018 14:05
55.9576725,-3.4005727,Large garden,Plant for pollinators,,,pollinator plants,345,05/09/2018 13:21
55.8880941,-3.428844,Large garden,Plant for pollinators,Make space for nature,Expand the network,Add wildflowers,321,19/08/2018 23:03
55.9554275,-3.2214104,Communal greenspace,Plant for pollinators,,,,318,15/08/2018 12:04
55.9530276,-3.1113901,Large garden,Plant for pollinators,,,,317,15/08/2018 11:52
55.9585048,-3.2460971,Small garden,Plant for pollinators,Make space for nature,Expand the network,Plan a small wildflower garden,312,12/08/2018 10:35
55.9585048,-3.2460971,Small garden,Plant for pollinators,Make space for nature,Expand the network,Planning a small wildflower garden in the corner of my garden.,311,12/08/2018 10:29
55.9531935,-3.1119233,Large garden,Plant for pollinators,,,,310,11/08/2018 14:36
55.946788,-3.1113278,Balcony / window box,Plant for pollinators,Make space for nature,Expand the network,get to know your website and what you recommend,308,11/08/2018 10:33
55.9436812,-3.1214816,Small garden,,Make space for nature,Expand the network,grow more flowers,307,10/08/2018 15:54
55.9648817,-3.2643102,Small garden,Plant for pollinators,Make space for nature,,Bee hotel,305,08/08/2018 21:28
55.9565344,-3.2844866,Large garden,Plant for pollinators,Make space for nature,,"Already planting for pollinators - all organic, blue garden, let clover grow in lawn etc but this autumn I’m turning a wee lawn patch into a wildflower meadow",304,08/08/2018 09:58
55.9249636,-3.2701655,Small garden,Plant for pollinators,Make space for nature,Expand the network,Wild flowers and less grass cutting,303,07/08/2018 20:47
55.9567094,-3.2298436,Large garden,Plant for pollinators,Make space for nature,Expand the network,Allow more self -seeded bee loving flowers to grow,302,06/08/2018 10:42
55.9597221,-3.2196395,Small garden,Plant for pollinators,Make space for nature,Expand the network,Plant clover and  create a wilder space to replace my lawn,301,05/08/2018 23:25
55.9149779,-3.2458845,Small garden,Plant for pollinators,,,research,300,04/08/2018 22:17
55.961723,-3.2080726,Balcony / window box,Plant for pollinators,,,xdfgxdfsthcgh,297,31/07/2018 12:47
55.961723,-3.2080726,Balcony / window box,Plant for pollinators,,,,296,31/07/2018 12:44
55.9753145,-3.2093457,Balcony / window box,Plant for pollinators,,,,295,30/07/2018 11:05
55.9541212,-3.1119634,Communal greenspace,Plant for pollinators,Make space for nature,,Plant more wild flowers,293,28/07/2018 23:06
55.887988,-3.3424838,Large garden,Plant for pollinators,Make space for nature,,make my lawn  pollinator friendly,292,28/07/2018 21:18
55.8930976,-3.3220319,Large garden,Plant for pollinators,Make space for nature,,Plant,290,27/07/2018 15:03
